#options: 638x478 fps=100/3 timebase=3/100 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=9 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:94 out:94 type:P dur:2 cpbdur:2 q:39.76 aq:42.48 tex:70062 mv:4835 misc:1271 imb:194 pmb:585 smb:421 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:39.77 aq:42.73 tex:84092 mv:5239 misc:1277 imb:245 pmb:585 smb:370 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:39.71 aq:41.78 tex:131145 mv:8127 misc:1280 imb:407 pmb:531 smb:262 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:39.76 aq:42.12 tex:78687 mv:5215 misc:1306 imb:203 pmb:609 smb:388 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:39.74 aq:41.69 tex:87682 mv:6037 misc:1313 imb:238 pmb:661 smb:301 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:39.76 aq:42.35 tex:72855 mv:4638 misc:1323 imb:162 pmb:610 smb:428 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:39.78 aq:42.65 tex:85536 mv:5444 misc:1316 imb:230 pmb:608 smb:362 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:39.78 aq:43.12 tex:86729 mv:5554 misc:1285 imb:232 pmb:576 smb:392 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:39.79 aq:41.93 tex:135486 mv:7987 misc:1311 imb:423 pmb:527 smb:250 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:39.81 aq:41.81 tex:93674 mv:5922 misc:1308 imb:259 pmb:584 smb:357 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:39.83 aq:42.75 tex:66789 mv:4094 misc:1301 imb:159 pmb:570 smb:471 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:39.90 aq:41.84 tex:81439 mv:5163 misc:1326 imb:228 pmb:597 smb:375 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:39.90 aq:42.67 tex:87425 mv:5580 misc:1307 imb:248 pmb:560 smb:392 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:39.91 aq:42.06 tex:103993 mv:6873 misc:1286 imb:349 pmb:539 smb:312 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:39.91 aq:43.04 tex:79642 mv:5470 misc:1288 imb:231 pmb:546 smb:423 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:39.92 aq:42.32 tex:98518 mv:7042 misc:1312 imb:348 pmb:504 smb:348 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:39.93 aq:42.16 tex:101834 mv:7590 misc:1288 imb:338 pmb:592 smb:270 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:40.02 aq:42.51 tex:96072 mv:6458 misc:1294 imb:313 pmb:514 smb:373 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:40.04 aq:42.44 tex:70305 mv:4739 misc:1268 imb:199 pmb:535 smb:466 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:40.02 aq:41.89 tex:110679 mv:7483 misc:1286 imb:365 pmb:513 smb:322 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:40.04 aq:41.22 tex:79588 mv:5451 misc:1321 imb:234 pmb:597 smb:369 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:40.05 aq:42.28 tex:77359 mv:5110 misc:1275 imb:204 pmb:536 smb:460 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:40.07 aq:42.95 tex:64963 mv:3988 misc:1249 imb:166 pmb:498 smb:536 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:40.06 aq:42.57 tex:69957 mv:4710 misc:1253 imb:198 pmb:512 smb:490 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:40.09 aq:42.97 tex:75536 mv:5423 misc:1273 imb:212 pmb:561 smb:427 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:40.11 aq:42.08 tex:108360 mv:8253 misc:1275 imb:406 pmb:499 smb:295 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:40.15 aq:42.20 tex:102993 mv:6950 misc:1273 imb:342 pmb:506 smb:352 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:40.15 aq:42.10 tex:88527 mv:6768 misc:1265 imb:269 pmb:600 smb:331 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:40.20 aq:43.11 tex:63367 mv:4254 misc:1259 imb:168 pmb:488 smb:544 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:40.19 aq:42.90 tex:61680 mv:4371 misc:1277 imb:199 pmb:503 smb:498 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:40.18 aq:43.21 tex:109920 mv:7689 misc:1263 imb:379 pmb:475 smb:346 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:40.18 aq:41.70 tex:119384 mv:8094 misc:1274 imb:403 pmb:492 smb:305 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:40.19 aq:43.34 tex:58386 mv:4054 misc:1280 imb:149 pmb:536 smb:515 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:40.18 aq:42.46 tex:110185 mv:7138 misc:1285 imb:350 pmb:522 smb:328 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:40.23 aq:42.69 tex:78996 mv:5338 misc:1282 imb:210 pmb:570 smb:420 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:40.26 aq:42.65 tex:75454 mv:4670 misc:1300 imb:185 pmb:568 smb:447 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:40.27 aq:42.64 tex:72062 mv:4504 misc:1306 imb:181 pmb:580 smb:439 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:40.26 aq:42.74 tex:64788 mv:4433 misc:1331 imb:176 pmb:569 smb:455 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:40.23 aq:42.74 tex:73925 mv:4785 misc:1290 imb:196 pmb:553 smb:451 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:40.27 aq:42.80 tex:72509 mv:5179 misc:1288 imb:204 pmb:571 smb:425 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:40.31 aq:43.36 tex:71537 mv:4402 misc:1285 imb:209 pmb:508 smb:483 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:40.29 aq:42.21 tex:110414 mv:7648 misc:1290 imb:401 pmb:474 smb:325 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:40.34 aq:43.65 tex:57936 mv:3944 misc:1280 imb:158 pmb:504 smb:538 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:40.32 aq:42.46 tex:90116 mv:6456 misc:1284 imb:282 pmb:558 smb:360 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:40.32 aq:42.83 tex:69692 mv:4870 misc:1270 imb:183 pmb:560 smb:457 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:40.30 aq:42.85 tex:59602 mv:3940 misc:1258 imb:143 pmb:530 smb:527 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:40.28 aq:42.47 tex:72426 mv:4796 misc:1266 imb:221 pmb:516 smb:463 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:40.26 aq:42.43 tex:78657 mv:5192 misc:1263 imb:238 pmb:516 smb:446 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:40.24 aq:42.10 tex:74381 mv:5181 misc:1262 imb:218 pmb:523 smb:459 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:40.23 aq:42.54 tex:63521 mv:4523 misc:1268 imb:183 pmb:507 smb:510 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:40.25 aq:41.19 tex:89014 mv:6473 misc:1273 imb:323 pmb:557 smb:320 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:40.23 aq:42.29 tex:65526 mv:4988 misc:1262 imb:176 pmb:530 smb:494 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:40.23 aq:42.13 tex:59935 mv:4251 misc:1262 imb:168 pmb:521 smb:511 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:40.21 aq:43.10 tex:53059 mv:3806 misc:1247 imb:144 pmb:478 smb:578 d:- ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:40.17 aq:42.06 tex:78254 mv:6445 misc:1245 imb:326 pmb:421 smb:453 d:- ref:0 ;
