#options: 140x140 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:114 out:113 type:P dur:2 cpbdur:2 q:32.00 aq:32.27 tex:11008 mv:844 misc:132 imb:3 pmb:78 smb:0 d:t ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:31.98 aq:36.53 tex:1810 mv:716 misc:186 imb:0 pmb:51 smb:30 d:t ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:31.97 aq:32.04 tex:10884 mv:816 misc:108 imb:3 pmb:78 smb:0 d:t ref:0 ;
in:121 out:116 type:P dur:2 cpbdur:2 q:31.95 aq:31.79 tex:18414 mv:999 misc:99 imb:28 pmb:53 smb:0 d:t ref:0 ;
in:118 out:117 type:B dur:2 cpbdur:2 q:31.96 aq:33.32 tex:9444 mv:1506 misc:154 imb:4 pmb:73 smb:4 d:t ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:31.97 aq:35.70 tex:2555 mv:716 misc:185 imb:2 pmb:50 smb:29 d:t ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:31.97 aq:36.01 tex:1776 mv:635 misc:149 imb:0 pmb:74 smb:7 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:31.96 aq:36.27 tex:3816 mv:1265 misc:143 imb:1 pmb:74 smb:6 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:31.95 aq:36.07 tex:1506 mv:610 misc:164 imb:1 pmb:63 smb:17 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:32.02 aq:31.89 tex:8650 mv:720 misc:126 imb:1 pmb:78 smb:2 d:t ref:0 ;
in:127 out:123 type:P dur:2 cpbdur:2 q:31.98 aq:31.99 tex:16098 mv:982 misc:120 imb:14 pmb:67 smb:0 d:t ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:32.00 aq:34.04 tex:7416 mv:1343 misc:161 imb:3 pmb:66 smb:12 d:t ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:32.01 aq:36.27 tex:2843 mv:984 misc:157 imb:0 pmb:65 smb:16 d:t ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:31.99 aq:36.00 tex:2171 mv:750 misc:151 imb:2 pmb:59 smb:20 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:31.98 aq:36.90 tex:2538 mv:995 misc:147 imb:1 pmb:66 smb:14 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:31.91 aq:31.64 tex:16891 mv:908 misc:113 imb:17 pmb:64 smb:0 d:t ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:31.95 aq:34.26 tex:7336 mv:1166 misc:178 imb:1 pmb:69 smb:11 d:t ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:31.96 aq:36.00 tex:2810 mv:397 misc:185 imb:0 pmb:40 smb:41 d:t ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:31.93 aq:36.00 tex:3091 mv:739 misc:178 imb:0 pmb:59 smb:22 d:- ref:0 ;
in:133 out:132 type:P dur:2 cpbdur:2 q:31.84 aq:31.68 tex:11223 mv:811 misc:126 imb:7 pmb:74 smb:0 d:t ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:31.88 aq:36.68 tex:1516 mv:570 misc:170 imb:0 pmb:43 smb:38 d:t ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:31.84 aq:32.00 tex:6884 mv:612 misc:120 imb:3 pmb:75 smb:3 d:t ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:31.81 aq:31.28 tex:9640 mv:714 misc:126 imb:3 pmb:78 smb:0 d:t ref:0 ;
in:137 out:136 type:P dur:2 cpbdur:2 q:31.85 aq:31.47 tex:9156 mv:698 misc:130 imb:3 pmb:78 smb:0 d:t ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:31.83 aq:35.46 tex:1010 mv:518 misc:160 imb:0 pmb:68 smb:13 d:s ref:0 ;
in:139 out:138 type:P dur:2 cpbdur:2 q:31.75 aq:32.12 tex:11774 mv:815 misc:115 imb:5 pmb:76 smb:0 d:t ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:31.80 aq:36.00 tex:2096 mv:818 misc:174 imb:0 pmb:65 smb:16 d:t ref:0 ;
in:142 out:140 type:P dur:2 cpbdur:2 q:31.74 aq:31.88 tex:14464 mv:909 misc:115 imb:16 pmb:64 smb:1 d:t ref:0 ;
in:140 out:141 type:B dur:2 cpbdur:2 q:31.74 aq:34.91 tex:4961 mv:978 misc:173 imb:0 pmb:67 smb:14 d:t ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:31.74 aq:35.79 tex:2502 mv:931 misc:167 imb:0 pmb:63 smb:18 d:- ref:0 ;
in:146 out:143 type:P dur:2 cpbdur:2 q:31.63 aq:31.54 tex:15930 mv:964 misc:122 imb:15 pmb:66 smb:0 d:t ref:0 ;
in:144 out:144 type:B dur:2 cpbdur:2 q:31.68 aq:34.41 tex:6284 mv:1004 misc:192 imb:4 pmb:55 smb:22 d:t ref:0 ;
in:143 out:145 type:b dur:2 cpbdur:2 q:31.71 aq:36.15 tex:3088 mv:891 misc:165 imb:0 pmb:68 smb:13 d:s ref:0 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:31.66 aq:36.88 tex:2356 mv:875 misc:185 imb:0 pmb:57 smb:24 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:31.70 aq:31.75 tex:8383 mv:704 misc:137 imb:3 pmb:75 smb:3 d:t ref:0 ;
in:149 out:148 type:P dur:2 cpbdur:2 q:31.74 aq:32.06 tex:11297 mv:845 misc:146 imb:8 pmb:71 smb:2 d:t ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:31.72 aq:36.98 tex:2030 mv:758 misc:172 imb:0 pmb:59 smb:22 d:t ref:0 ;
